ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.CHANGE_WIFI_STATE]-[android.permission.ACCESS_WIFI_STATE]-[android.permission.READ_PHONE_STATE]-[android.permission.WRITE_EXTERNAL_STORAGE]-[android.permission.READ_EXTERNAL_STORAGE]-[com.ismaker.android.simsimi.permission.C2D_MESSAGE]-[com.google.android.c2dm.permission.RECEIVE]-[android.permission.VIBRATE]-,1,1
startActivity,com/cauly/android/ad/AdLayout$3,android.intent.action.CALL,external,12,28,4
startActivity,com/cauly/android/ad/AdLayout$CaulyWebViewClient,android.intent.action.VIEW,external,12,28,6
startActivity,com/cauly/android/ad/AdLayout,android.intent.action.VIEW,external,12,28,7
startActivity,com/cauly/android/ad/AdLayout,android.intent.action.VIEW,external,12,28,7
startActivity,com/cauly/android/ad/AdLayout,android.intent.action.VIEW,external,12,28,7
startActivity,com/cauly/android/ad/AdLayout,android.intent.action.VIEW,external,12,28,7
startActivity,com/cauly/android/ad/AdLayout,android.intent.action.VIEW,external,12,28,7
startActivity,com/cauly/android/ad/AdLayout,android.intent.action.VIEW,external,12,28,7
startActivity,com/cauly/android/ad/AdWebview$CaulyWebViewClient,android.intent.action.VIEW,external,40,319,10
startActivity,com/facebook/android/Facebook,com.facebook.katana,external,40,342,14
startActivityForResult,com/facebook/android/Facebook,com.facebook.katana,external,40,342,14
startActivity,com/facebook/android/FbDialog$FbWebViewClient,android.intent.action.VIEW,external,40,343,15
startActivity,com/google/ads/AdActivity,com/google/ads/AdActivity,internal,40,373,15
startActivity,com/google/ads/AdActivity,android.intent.action.VIEW,internal,40,373,16
startActivity,com/ismaker/android/simsimi/auth/AuthSNSLoginActivity$facebookLoginListener,com/ismaker/android/simsimi/auth/AuthSNSFinishActivity,external,211,377,17
startActivity,com/ismaker/android/simsimi/ChatActivity$18,android.intent.action.VIEW,external,211,377,29
startActivity,com/ismaker/android/simsimi/ChatActivity$9,com/ismaker/android/simsimi/auth/AuthSNSLoginActivity,external,211,377,38
startActivity,com/ismaker/android/simsimi/ChatActivity,com/ismaker/android/simsimi/WebPopupActivity,external,211,377,38
startActivity,com/ismaker/android/simsimi/ChatActivity,com/ismaker/android/simsimi/ChatShareActivity,external,211,377,38
startActivity,com/ismaker/android/simsimi/ChatActivity,com/ismaker/android/simsimi/ChatShareActivity,external,211,377,38
startActivityForResult,com/ismaker/android/simsimi/ChatActivity,com/ismaker/android/simsimi/ChatShareActivity,external,211,377,38
startActivity,com/ismaker/android/simsimi/ChatActivity,com/ismaker/android/simsimi/ChatShareActivity,external,211,377,38
startActivityForResult,com/ismaker/android/simsimi/ChatActivity,com/ismaker/android/simsimi/ChatShareActivity,external,211,377,38
startActivity,com/ismaker/android/simsimi/ChatActivity,com/ismaker/android/simsimi/ChatShareActivity,external,211,377,38
startActivityForResult,com/ismaker/android/simsimi/ChatActivity,com/ismaker/android/simsimi/ChatShareActivity,external,211,377,38
startActivity,com/ismaker/android/simsimi/ChatActivity,com/ismaker/android/simsimi/TutorialActivity,external,211,377,38
startActivityForResult,com/ismaker/android/simsimi/ChatActivity,com/ismaker/android/simsimi/TutorialActivity,external,211,377,38
startActivity,com/ismaker/android/simsimi/ChatActivity,com/ismaker/android/simsimi/SplashActivity,external,211,377,38
startActivityForResult,com/ismaker/android/simsimi/ChatActivity,com/ismaker/android/simsimi/SplashActivity,external,211,377,38
startActivity,com/ismaker/android/simsimi/ChatShareActivity$4,com/ismaker/android/simsimi/auth/AuthSNSLoginActivity,external,211,377,45
startActivity,com/ismaker/android/simsimi/ConfigActivity,com/ismaker/android/simsimi/LanguageActivity,external,211,377,59
startActivityForResult,com/ismaker/android/simsimi/ConfigActivity,com/ismaker/android/simsimi/LanguageActivity,external,211,377,59
startActivity,com/ismaker/android/simsimi/ConfigActivity,android.lgt.appstore,external,211,377,59
startActivity,com/ismaker/android/simsimi/ConfigActivity,android.intent.action.VIEW,external,211,377,59
startActivity,com/ismaker/android/simsimi/ConfigActivity,com/ismaker/android/simsimi/WebPopupActivity,external,211,377,61
startActivity,com/ismaker/android/simsimi/LanguageActivity,com/ismaker/android/simsimi/ViewFlipperActivity,external,211,436,75
startActivityForResult,com/ismaker/android/simsimi/LanguageActivity,com/ismaker/android/simsimi/ViewFlipperActivity,external,211,436,75
